Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Abbotsford,Dukes Gym Abbotsford,571-573 Victoria Street,VIC,3067,2021-05-24,24/05/2021,6:15pm - 8:15pm,Case attended venue,2021-05-26,26/05/2021,11:20 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:15:00,20:15:00
Axedale,Axedale Tavern,105 High Street,VIC,3551,2021-05-23,23/05/2021,11:45am - 1:30pm,Case attended function,2021-05-26,26/05/2021,12:46 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:45:00,13:30:00
Balwyn,"Endless Lifestyle Studio

","Shop 3/188 Whitehorse Road

",VIC,3103,2021-05-23,23/05/2021,9:45am - 12:40pm,Case attended venue,2021-05-26,26/05/2021,11:20 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:45:00,12:40:00
Bendigo,Hairfolk,33 Williamson Street,VIC,3550,2021-05-22,22/05/2021,9:40am - 10:10am,Case attended venue,2021-05-26,26/05/2021,12:46 am,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",09:40:00,10:10:00
Brunswick,Futsal Brunswick,409 Victoria Street,VIC,3056,2021-05-23,23/05/2021,9:00am - 10:00am,Case attended venue. The Department may provide you with specific advice depending on what activity you participated in at this exposure site.,2021-05-24,24/05/2021,9:09 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",09:00:00,10:00:00
Bundoora,Jump! Swim Schools Bundoora,4/37 The Concord,VIC,3083,2021-05-21,21/05/2021,8:55am - 10:15am,Case attended venue,2021-05-24,24/05/2021,4:07 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:55:00,10:15:00
Carlton,"RMIT Campus, Building 56","115 Queensberry Street

",VIC,3053,2021-05-21,21/05/2021,8:00am - 10:30am,Case attended Building 56,2021-05-26,26/05/2021,11:07 am,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",08:00:00,10:30:00
Clifton Hill,McDonald's Clifton Hill - Dine-in Only,199 Queens Parade,VIC,3068,2021-05-22,22/05/2021,6:00pm - 7:00pm,Case dined inside venue,2021-05-24,24/05/2021,12:50 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:00:00,19:00:00
Coburg,BP Southvale,303 Bell Street,VIC,3058,2021-05-22,22/05/2021,8:10am - 8:30am,Case attended venue,2021-05-26,26/05/2021,12:46 am,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",08:10:00,08:30:00
Coburg,The Nicholson Coffee House,6/14-20 Nicholson Street,VIC,3058,2021-05-22,22/05/2021,12:00pm - 1:00pm,Case sat inside cafe,2021-05-26,26/05/2021,12:46 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,13:00:00
Epping,ALDI Epping,347-371 Dalton Road,VIC,3076,2021-05-23,23/05/2021,6:00pm - 7:30pm,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",18:00:00,19:30:00
